filename,model,macro_f1,TP_LOC,FP_LOC,FN_LOC,precision_LOC,recall_LOC,f1_LOC,TP_PER,FP_PER,FN_PER,precision_PER,recall_PER,f1_PER,TP_ORG,FP_ORG,FN_ORG,precision_ORG,recall_ORG,f1_ORG
NR_1.S_09.11.2017.xmi,rule_based,0.09988101282436525,13,1112,484,0.011555555555555555,0.026156941649899398,0.016029593094944512,0,0,749,0.0,0.0,0.0,135,289,393,0.31839622641509435,0.2556818181818182,0.28361344537815125
NR_1.S_09.11.2017.xmi,flair,0.2241184674014067,24,61,473,0.2823529411764706,0.0482897384305835,0.08247422680412371,280,541,469,0.341047503045067,0.37383177570093457,0.356687898089172,111,313,417,0.2617924528301887,0.21022727272727273,0.2331932773109244
NR_1.S_09.11.2017.xmi,spacy,0.3732752226470512,81,173,416,0.3188976377952756,0.16297786720321933,0.21571238348868177,373,347,376,0.5180555555555556,0.4979973297730307,0.5078284547311096,256,508,272,0.33507853403141363,0.48484848484848486,0.39628482972136225
NR_1.S_10.11.1920.xmi,rule_based,0.047619047619047616,2,77,94,0.02531645569620253,0.020833333333333332,0.022857142857142857,0,0,156,0.0,0.0,0.0,6,14,74,0.3,0.075,0.12
NR_1.S_10.11.1920.xmi,flair,0.10906298003072197,0,16,96,0.0,0.0,0.0,71,207,85,0.25539568345323743,0.4551282051282051,0.3271889400921659,0,8,80,0.0,0.0,0.0
NR_1.S_10.11.1920.xmi,spacy,0.22838629704755467,20,116,76,0.14705882352941177,0.20833333333333334,0.1724137931034483,56,128,100,0.30434782608695654,0.358974358974359,0.32941176470588235,11,29,69,0.275,0.1375,0.18333333333333335
NR_1.S_14.12.1962.xmi,rule_based,0.10273922303003598,6,152,192,0.0379746835443038,0.030303030303030304,0.033707865168539325,0,0,513,0.0,0.0,0.0,49,92,167,0.3475177304964539,0.22685185185185186,0.27450980392156865
NR_1.S_14.12.1962.xmi,flair,0.1305235462209614,2,4,196,0.3333333333333333,0.010101010101010102,0.019607843137254905,210,1387,303,0.13149655604257984,0.4093567251461988,0.19905213270142183,30,101,186,0.22900763358778625,0.1388888888888889,0.1729106628242075
NR_1.S_14.12.1962.xmi,spacy,0.28431712976795115,36,151,162,0.1925133689839572,0.18181818181818182,0.18701298701298702,208,446,305,0.3180428134556575,0.40545808966861596,0.35646958011996577,67,150,149,0.3087557603686636,0.3101851851851852,0.30946882217090066
NR_1.S_15.01.1996.xmi,rule_based,0.06467518198049718,11,418,220,0.02564102564102564,0.047619047619047616,0.03333333333333333,0,0,1439,0.0,0.0,0.0,65,300,379,0.1780821917808219,0.1463963963963964,0.16069221260815822
NR_1.S_15.01.1996.xmi,flair,0.2780908234849144,17,34,214,0.3333333333333333,0.0735930735930736,0.12056737588652483,862,812,577,0.5149342891278376,0.5990271021542738,0.5538066174108578,63,281,381,0.18313953488372092,0.14189189189189189,0.1598984771573604
NR_1.S_15.01.1996.xmi,spacy,0.3967137114243693,40,100,191,0.2857142857142857,0.17316017316017315,0.21563342318059298,836,680,603,0.5514511873350924,0.580958999305073,0.5658206429780035,207,362,237,0.36379613356766255,0.46621621621621623,0.4086870681145114
NR_1.S_17.12.1986.xmi,rule_based,0.08505984567713713,1,273,178,0.0036496350364963502,0.00558659217877095,0.004415011037527594,0,0,296,0.0,0.0,0.0,41,92,153,0.3082706766917293,0.211340206185567,0.25076452599388377
NR_1.S_17.12.1986.xmi,flair,0.1062831326869919,3,21,176,0.125,0.01675977653631285,0.029556650246305417,84,444,212,0.1590909090909091,0.28378378378378377,0.2038834951456311,12,75,182,0.13793103448275862,0.061855670103092786,0.08540925266903915
NR_1.S_17.12.1986.xmi,spacy,0.24554762685914264,17,60,162,0.22077922077922077,0.09497206703910614,0.1328125,79,265,217,0.22965116279069767,0.2668918918918919,0.24687499999999998,68,119,126,0.36363636363636365,0.35051546391752575,0.35695538057742787
